"Course_name","Course_content","Course_Prerequisites","Course_Main_themes","Course_Main_Aims","Course_master"
"International Investment Law","The course is divided into four parts. The first one is devoted to the history of international investment law; it explains the inception and evolution of the field since the second half of the 18th century until today. The second part focuses on the rules and standards protecting foreign investors abroad, such as the fair and equitable treatment and the expropriation standards, with a particular insight into the recent evolution of treaty practice. The third part analyses investor-State arbitration from an institutional and procedural perspectives. It also delves into specific issues, for instance applicable law or reparation. The last part of the course inquires into the future of international investment law in light of the current trends in this regime; it analyzes notably the relation between international investment law and sustainable development.","Aims",NA,"This course aims at introducing students to one of the most dynamic, and also one of the most criticized field of public international law. In light of the history of international investment law and its future prospects, students get in-depth analyses of the substantive rules that protect foreign investors and of investor-State arbitration. They also learn about the increasing use of international investment law to promote and protect sustainable development objectives. Equipped with this knowledge, students are able to assess and make their own -informed- opinion on the 'merits' of international investment law, notably in relation to the issue of the right of States to regulate as well as the issue of the legitimacy and adequacy of arbitration to settle investor-State disputes.           The contribution of this Teaching Unit to the development and          command of the skills and learning outcomes of the programme(s) can be          accessed at the end of this sheet, in the section entitled          “Programmes/courses offering this Teaching Unit”.","Master [120] in Law"
"International Investment Law","The course is divided into four parts. The first one is devoted to the history of international investment law; it explains the inception and evolution of the field since the second half of the 18th century until today. The second part focuses on the rules and standards protecting foreign investors abroad, such as the fair and equitable treatment and the expropriation standards, with a particular insight into the recent evolution of treaty practice. The third part analyses investor-State arbitration from an institutional and procedural perspectives. It also delves into specific issues, for instance applicable law or reparation. The last part of the course inquires into the future of international investment law in light of the current trends in this regime; it analyzes notably the relation between international investment law and sustainable development.","Aims",NA,"This course aims at introducing students to one of the most dynamic, and also one of the most criticized field of public international law. In light of the history of international investment law and its future prospects, students get in-depth analyses of the substantive rules that protect foreign investors and of investor-State arbitration. They also learn about the increasing use of international investment law to promote and protect sustainable development objectives. Equipped with this knowledge, students are able to assess and make their own -informed- opinion on the 'merits' of international investment law, notably in relation to the issue of the right of States to regulate as well as the issue of the legitimacy and adequacy of arbitration to settle investor-State disputes.           The contribution of this Teaching Unit to the development and          command of the skills and learning outcomes of the programme(s) can be          accessed at the end of this sheet, in the section entitled          “Programmes/courses offering this Teaching Unit”.","Specialised master in international law"
"International Investment Law","The course is divided into four parts. The first one is devoted to the history of international investment law; it explains the inception and evolution of the field since the second half of the 18th century until today. The second part focuses on the rules and standards protecting foreign investors abroad, such as the fair and equitable treatment and the expropriation standards, with a particular insight into the recent evolution of treaty practice. The third part analyses investor-State arbitration from an institutional and procedural perspectives. It also delves into specific issues, for instance applicable law or reparation. The last part of the course inquires into the future of international investment law in light of the current trends in this regime; it analyzes notably the relation between international investment law and sustainable development.","Aims",NA,"This course aims at introducing students to one of the most dynamic, and also one of the most criticized field of public international law. In light of the history of international investment law and its future prospects, students get in-depth analyses of the substantive rules that protect foreign investors and of investor-State arbitration. They also learn about the increasing use of international investment law to promote and protect sustainable development objectives. Equipped with this knowledge, students are able to assess and make their own -informed- opinion on the 'merits' of international investment law, notably in relation to the issue of the right of States to regulate as well as the issue of the legitimacy and adequacy of arbitration to settle investor-State disputes.           The contribution of this Teaching Unit to the development and          command of the skills and learning outcomes of the programme(s) can be          accessed at the end of this sheet, in the section entitled          “Programmes/courses offering this Teaching Unit”.","Specialised master in European law"
"Theory and History of International Law","The course focuses on specific themes that are analyzed from both a theoretical and historical perspectives. Each session is devoted to one theme; it disentangles and analyzes the various factors of a societal, political and epistemic nature, that are relevant for the theme under study. Among other themes, the course offers an insight into 'sovereignty', 'the making of international law', 'responsibility in international law', or 'the private international law / public international law divide'.","Aims","From the perspective of legal theory and legal history, this course aims at unravelling and analyzing the dynamics that have shaped and are currently at play in international law. In light of their knowledge of the primary and secondary rules of international law, students get the opportunity to understand how political, and more generally, societal factors influence the features and content of international law. By the same token, this course shows how the international law epistemic community and the theories that it produces impact on this field. Equipped with this theoretical and historical toolbox, students are able to critically reflect upon the essence, function and evolution of international law.","Specialised master in international law 	                                                     DRIN2MC                                  5                                        -","Specialised master in international law"
"Theory and History of International Law","The course focuses on specific themes that are analyzed from both a theoretical and historical perspectives. Each session is devoted to one theme; it disentangles and analyzes the various factors of a societal, political and epistemic nature, that are relevant for the theme under study. Among other themes, the course offers an insight into 'sovereignty', 'the making of international law', 'responsibility in international law', or 'the private international law / public international law divide'.","Aims","From the perspective of legal theory and legal history, this course aims at unravelling and analyzing the dynamics that have shaped and are currently at play in international law. In light of their knowledge of the primary and secondary rules of international law, students get the opportunity to understand how political, and more generally, societal factors influence the features and content of international law. By the same token, this course shows how the international law epistemic community and the theories that it produces impact on this field. Equipped with this theoretical and historical toolbox, students are able to critically reflect upon the essence, function and evolution of international law.","Specialised master in international law 	                                                     DRIN2MC                                  5                                        -","Master [120] in Law"
"Theory and History of International Law","The course focuses on specific themes that are analyzed from both a theoretical and historical perspectives. Each session is devoted to one theme; it disentangles and analyzes the various factors of a societal, political and epistemic nature, that are relevant for the theme under study. Among other themes, the course offers an insight into 'sovereignty', 'the making of international law', 'responsibility in international law', or 'the private international law / public international law divide'.","Aims","From the perspective of legal theory and legal history, this course aims at unravelling and analyzing the dynamics that have shaped and are currently at play in international law. In light of their knowledge of the primary and secondary rules of international law, students get the opportunity to understand how political, and more generally, societal factors influence the features and content of international law. By the same token, this course shows how the international law epistemic community and the theories that it produces impact on this field. Equipped with this theoretical and historical toolbox, students are able to critically reflect upon the essence, function and evolution of international law.","Specialised master in international law 	                                                     DRIN2MC                                  5                                        -","Master [120] in Law (shift schedule)"
"Theory and History of International Law","The course focuses on specific themes that are analyzed from both a theoretical and historical perspectives. Each session is devoted to one theme; it disentangles and analyzes the various factors of a societal, political and epistemic nature, that are relevant for the theme under study. Among other themes, the course offers an insight into 'sovereignty', 'the making of international law', 'responsibility in international law', or 'the private international law / public international law divide'.","Aims","From the perspective of legal theory and legal history, this course aims at unravelling and analyzing the dynamics that have shaped and are currently at play in international law. In light of their knowledge of the primary and secondary rules of international law, students get the opportunity to understand how political, and more generally, societal factors influence the features and content of international law. By the same token, this course shows how the international law epistemic community and the theories that it produces impact on this field. Equipped with this theoretical and historical toolbox, students are able to critically reflect upon the essence, function and evolution of international law.","Specialised master in international law 	                                                     DRIN2MC                                  5                                        -","Specialised master in European law"
"International, Diplomatic, Consular and Immunities Law",NA,"Aims",NA,"Specialised master in international law 	                                                     DRIN2MC                                  5                                        -","Specialised master in international law"
"International, Diplomatic, Consular and Immunities Law",NA,"Aims",NA,"Specialised master in international law 	                                                     DRIN2MC                                  5                                        -","Master [120] in Law"
"International, Diplomatic, Consular and Immunities Law",NA,"Aims",NA,"Specialised master in international law 	                                                     DRIN2MC                                  5                                        -","Master [120] in Law (shift schedule)"
"International, Diplomatic, Consular and Immunities Law",NA,"Aims",NA,"Specialised master in international law 	                                                     DRIN2MC                                  5                                        -","Specialised master in European law"
"Legal English","Contents (see also 'main themes', above): Part 1: elementary legal English (general outlines for various areas of the law); Part 2: advanced legal English (case studies).  Teaching Methods: Part 1: reading, translating, explaining the difficulties and the technique to avoid or resolve any pitfalls specific to legal English; Part 2: analysing cases according to a set structure (facts, proceedings, outcome, legal issues, arguments submitted on either side). The active participation of the students in this part of the course is encouraged.  Assessment and examination methods:  these are explained in the information published on the electronic notice board (including a full specimen of an examination). A standard examination includes: (a) translating legal terms from English into French;  (b) explaining English legal terms in French (with the help of an English legal dictionary);  (c) translating sentences from an English legal text into French;  (d) analysing questions relating to a case (the text of which is made available at the examination).","Aims","Part 1: elementary legal English: a general survey of the vocabulary in different areas of the law, and an introduction to key notions of the common law tradition. Part 2: advanced legal English: an introduction to cases in the common law tradition.","The course should help students to acquire a general 'passive' knowledge enabling them to understand an English legal text; it should also contribute towards the development of a command of 'active' English and the ability to express oneself in writing when discussing legal materials or questions. More specifically, the course will help to develop: - command of a basic English legal vocabulary, in all traditional areas of the law; - the technique of translating an English legal text into French, including the skill to render in French translation terms and phrases which have no precise equivalent in the legal system of the translation's addressee; - a first introduction to the use of professional tools for translating English legal texts, in particular legal dictionaries.           The contribution of this Teaching Unit to the development and          command of the skills and learning outcomes of the programme(s) can be          accessed at the end of this sheet, in the section entitled          “Programmes/courses offering this Teaching Unit”.","Minor in law (open)"
"Legal English","Contents (see also 'main themes', above): Part 1: elementary legal English (general outlines for various areas of the law); Part 2: advanced legal English (case studies).  Teaching Methods: Part 1: reading, translating, explaining the difficulties and the technique to avoid or resolve any pitfalls specific to legal English; Part 2: analysing cases according to a set structure (facts, proceedings, outcome, legal issues, arguments submitted on either side). The active participation of the students in this part of the course is encouraged.  Assessment and examination methods:  these are explained in the information published on the electronic notice board (including a full specimen of an examination). A standard examination includes: (a) translating legal terms from English into French;  (b) explaining English legal terms in French (with the help of an English legal dictionary);  (c) translating sentences from an English legal text into French;  (d) analysing questions relating to a case (the text of which is made available at the examination).","Aims","Part 1: elementary legal English: a general survey of the vocabulary in different areas of the law, and an introduction to key notions of the common law tradition. Part 2: advanced legal English: an introduction to cases in the common law tradition.","The course should help students to acquire a general 'passive' knowledge enabling them to understand an English legal text; it should also contribute towards the development of a command of 'active' English and the ability to express oneself in writing when discussing legal materials or questions. More specifically, the course will help to develop: - command of a basic English legal vocabulary, in all traditional areas of the law; - the technique of translating an English legal text into French, including the skill to render in French translation terms and phrases which have no precise equivalent in the legal system of the translation's addressee; - a first introduction to the use of professional tools for translating English legal texts, in particular legal dictionaries.           The contribution of this Teaching Unit to the development and          command of the skills and learning outcomes of the programme(s) can be          accessed at the end of this sheet, in the section entitled          “Programmes/courses offering this Teaching Unit”.","Bachelor in Law"
"Introduction to comparative law","Contents:  (see also above, 2.)  1.General Part  2. Special Part  Teaching methods:  Part 1: systematic outlines of the major features of each tradition, including if possible each time a section on practical issues raised by the application of a non-Western legal rule in a Western forum.  Part 2: systematic outlines of selected topics (which may vary from one year to another), based on the analysis and discussion of cases.","Aims","1. General Part: a general survey of some major legal traditions of the world (chtonic law, religious laws: Hindu, Jewish, Islamic traditions, Western legal systems etc.).  2. Special Part: detailed studies of specific institutions of the Anglo-American legal system - these may vary from one year to another. This part of the course is taught following a case-method","The aim of the course is twofold: (a) introducing the student to some major legal systems and to a comparative approach combining several legal traditions; (b) assisting the student in becoming acquainted with the skills required for attending lectures and presenting a written examination in a foreign language (English), and specifically in the context of legal studies.           The contribution of this Teaching Unit to the development and          command of the skills and learning outcomes of the programme(s) can be          accessed at the end of this sheet, in the section entitled          “Programmes/courses offering this Teaching Unit”.","Minor in law (open)"
