"Titles","Abstracts"
"[PDF][PDF] Attitude, Skills and Task Performance of Accountants in the Public Sector","… the first position since 2015 because of technology advancement and big data analytics … to perform
their duties in accordance with institutional, ethical, legal and regulatory framework … on the
increasing demand for accountants to conduct forensic accounting activities and on the … 
"
"[BOOK][B] Value Creation in Management Accounting and Strategic Management: An Integrated Approach","… 116 7.2.2. Data analysis … in a context of digital transformation that reshapes value chains, business
models and more broadly business practices including accounting activities … JEN 76] explains
that the firm can be defined as a nexus of contracts, and therefore a legal fiction and … 
"
"What role for social sciences in innovation?","… related fields (including computer science, information systems, software engineering and artificialintelligence) are found … Availability of comprehensive, long-term and internationally comparabledata allows for … cite NPL; citations are frequently given by examiners or by patent … 
"
"Tech human resources: a study on the impact of digital technologies on international HR startups","… The role of technology is spreading in all processes which composed Human Resource function:
form Recruiting to Learning and … resource tech industry are Social, Mobile, Artificial Intelligence,Big Data and Analytics and Cloud … oriented or effectiveness oriented … 
"
"Adapting business framework conditions to deal with disruptive technologies in Denmark","… Participation in life-long learning is high but decreasing … Second, the ability to combine new
advanced technologies (such as sensors, advanced robotics and 3D printing), new processes
(such as data-driven production and artificial intelligence) and new business models … 
"
"Business dynamics and digitalisation","… sectors: Computer and electronics; Machinery and equipment nec; Transport equipment;
Telecommunication; IT; Legal and accounting; Scientific … Data for some countries are still
preliminary … that – on average – in all countries digital intensive sectors exhibit higher or similar … 
"
"The compositional nature of productivity and innovation slowdown","… Indeed, our task is to understand if the 'data generating process' behind the productivity slowdown …
the so–called within, between, and covariance (or cross–level) components (or effects … the following:
at the firm level, the within effect is interpreted as learning/innovation (change … 
"
"[PDF][PDF] High Performance Computing Facility Operational Assessment 2016-Oak Ridge Leadership Computing Facility","… Neither the United States Government nor any agency thereof, nor any of their
employees, makes any warranty, express or implied, or assumes any legal liabilityor responsibility for the … 59 4.1.1 Big Data Analytics: Deep Learning … 
"
"Three essays on audit technology: audit 4.0, blockchain, and audit app","… manufacturing, marketing, and all other business functions such as accounting, legal, human
resources, etc … 1.3. Big Data and Audit Data Analytics In recent years, “big data” has received
increasing attention from accounting … and inaccurately sorted data … 
"
"[BOOK][B] Society 5.0: Industry of the Future, Technologies, Methods and Tools","… 87 5.9.4. Artificial intelligence … 245 12.9. The notion of data visualization … 3
Translation of French quote. Paul Valéry in “Le bilan de l'intelligence”, extracted from a
conference delivered in 1935, published by Allia Editions in 2011. Page 22 … 
"
"[PDF][PDF] OPTIMAL SIZING AND SITING OF RENEWABLE DISTRIBUTED GENERATION IN DISTRIBUTION SYSTEMS","… of Discrete Wavelet Transform (DWT) as a feature extraction and Extreme Learning Machine
(ELM) approach … The DWT also gives a fixed amount of data that can be utilized modesty … ELM
can satisfy any continuous or piecewise target function like speech signal with universal … 
"
"Measuring Performance of Adaptive Supply Chains","… The data source for such a system is the reporting of individual units under accounting activities …
does not solely result from the will to satisfy specific customer requirements, but also the necessity
to adjust products to the legal requirements of … 5.2 Sample and Data Collection … 
"
"[BOOK][B] Decentralized Computing Using Blockchain Technologies and Smart Contracts: Emerging Research and Opportunities: Emerging Research and …","… With the advent of intelligent systems and self-learning machines, every device require freedom
of … chain, which is computationally very expensive and this makes the blockchain an “immutabledata store … can be either an individual or a group of miners or a machine powered with … 
"
"The impact of new technologies on the labour market and the social economy","… for employment from new information and communication technologies, including machinelearning, digitalisation in … sector including water and air transport, but, more important, legal andaccounting activities; activities of … the same for the two figures, since firm-level data do not … 
"
"An entrepreneur's external social capital, innovation capability, and fundamental resources in their startup community: An analysis of Finnish startups in the knowledge …","… 45 4.5.. DATA ANALYSIS 46 5. MODEL ASSESSMENT AND RESULTS 48 … Other financings Equity
financing personal savings, friends and family members, bootstrapping short-term, intermediate,
long-term loans from commercial banks or private individuals and companies … 
"
"Software robot-based automation of financial administration's processes","… Task type Support for human labourers Most advanced method Configuration (set rules/learning)
Analysing numbers Business Intelligence, data visualisation … The artificial intelligence is defined
as intelligent behaviour of machines (Ertel 2011, 1; Hutter & Legg 2007, 405) … 
"
"Automated accounting in accounting firms: A qualitative study on impacts and attitudes","… companies increased and became a necessity in order to improve accounting activities and to
store … In accounting, big data can help the bookkeeping by eg analyzing the invoice, find … of whetheror not the profession is dying and if computers and artificial intelligence will take … 
"
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
