"Titles","Abstracts"
"Forecasting SMEs' credit risk in supply chain finance with an enhanced hybrid ensemble machine learning approach","In recent years, financial institutions (FIs) have tentatively utilized supply chain finance (SCF) as a means of solving the financing issues of small and medium-sized enterprises (SMEs). Thus, forecasting SMEs' credit risk in SCF has become one of the most critical issues in …"
"Big data opportunities for accounting and finance practice and research","We examine the research opportunities for the use of 'big data'in accounting and finance. The purpose of the study is to present a snapshot of big data academic research in information systems, accounting and finance, and to highlight areas for further research in …"
"Humans, Jobs, and the Economy: The Future of Finance in the Age of Big Data","Finance is the efficient allocation of capital to achieve individual and societal objectives. Finance runs on information, from the number of ships under construction in the ports of Dalian, to the beliefs of investors in a marketplace--we want to put capital to work in the …"
"Internet finance: Its uncertain legal foundations and the role of big data in its development","Internet finance has made significant progress in China. At the same time, it also suffers from legal gaps and inconsistencies. Traditionally, legislation regulates the emerging internet financial market by distinguishing between legal and illegal activities. Users of internet …"
"QuantCloud: big data infrastructure for quantitative finance on the cloud","In this paper, we present the QuantCloud infrastructure, designed for performing big data analytics in modern quantitative finance. Through analyzing market observations, quantitative finance (QF) utilizes mathematical models to search for subtle patterns and …"
"[PDF][PDF] Machine learning in finance: the case of deep learning for option pricing","Modern advancements in mathematical analysis, computational hardware and software, and availability of big data have made possible commoditized machines that can learn to operate as investment managers, financial analysts, and traders. We briefly survey how and …"
"Big data, computational science, economics, finance, marketing, management, and psychology: connections","The paper provides a review of the literature that connects Big Data, Computational Science, Economics, Finance, Marketing, Management, and Psychology, and discusses research issues that are related to the various disciplines. Academics could develop theoretical …"
"Big Data Analytics and Visualization: Finance","All finance institutions have seen an explosion in their velocity, variety and volume of their internal 
datasets. New federal regulations requirement require leveraging internal and external data 
linking: [1] Customer service and transactional level data; [2] Social Media activity analysis (Sentimental …"
"[PDF][PDF] Artificial Intelligence, Smart Contract and Islamic Finance","This study examines the two important aspect of latest technology issues in Islamic finance that related to artificial intelligence (AI) and smart contract. AI refers to the ability of machines to understand, think, and learn in a similar way to human beings, indicating the possibility of …"
"[PDF][PDF] Study on the Impact of Artificial Intelligence on Competencies in Corporate Finance","Prof. Dr. Kai Reinhardt is a lecturer and researcher at HTW Berlin, in the economic sector for digital organizational development. He looks back on almost 20 years of online and industry experience in the high-tech, mid-sized, and corporate environment. He also advises …"
"Signal Processing for Finance, Economics, and Marketing: Concepts, framework, and big data applications","Economic data and financial markets are intriguing to researchers working on data and quantitative models. With rapid growth of and increasing access to data in digital form, finance, economics, and marketing data are poised to become one of the most important …"
"Financial credit risk prediction in internet finance driven by machine learning","The development of science and technology promotes the constant changes of consumer finance, but also brings some financial credit risks. In particular, with the continuous development of Internet finance, financial credit risk is increasingly difficult to control. Based …"
"Quantcloud: Enabling big data complex event processing for quantitative finance through a data-driven execution","Quantitative Finance (QF) utilizes increasingly sophisticated mathematic models and advanced computer techniques to predict the movement of global markets and price the derivatives. Today, the rise of QF requires an integrated toolchain of enabling technologies …"
"Introduction to the special issue on Big Data in finance and business","It is hard to remember that only 30 years ago, e-market innovation was led, not by marketing and commerce, but by the financial sector. The stock market crash of 1987 generated enormous interest in electronic trading, and within 5 years the number of stock markets …"
"Decision Sciences, Economics, Finance, Business, Computing, and Big Data: Connections","This paper provides a review of some connecting literature in Decision Sciences, Economics, Finance, Business, Computing, and Big Data. We then discuss some research that is related to the six cognate disciplines. Academics could develop theoretical models …"
"Machine learning in quantitative finance","This thesis consists of the three chapters. Chapter 1 aims to decrease the time complexity of multi-output relevance vector regression from O (VM^ 3) to O (V^ 3+ M^ 3), where V is the number of output dimensions, M is the number of basis functions, and V< M. The …"
"[PDF][PDF] Machine Learning Projection Methods for Macro-Finance Models","This paper develops a global solution method to solve large state space macro-finance models using machine learning. Our new method, an artificial neural network expectation algorithm, is not only considerably faster but also as precise and more scalable than the …"
"Application of information systems aimed at big data use in the sphere of state finance management: Concept scheme","The article is devoted to the application of big data technologies in public administration, in particular, in public financial management. The paper outlines the basic principles of effective public financial management and describes the development trends of state …"
"Compressed Sensing and its Applications in Risk Assessment for Internet Supply Chain Finance under Big Data","Plenty of research focuses on supply chain finance and its risk, qualitatively or quantitatively. However, only a little literature studies on internet supply chain finance (ISCF), especially on its risk by quantitative analysis. After analyzing the information of partners' panorama data …"
"Study on the Relationship between Big Data and Consumer Finance in Guizhou Province","Consumer finance refers to the financial services of consumer finance companies, Banks, Internet e-commerce companies and stage shopping platforms to provide consumers with the purpose of consumption. Compared with traditional consumer finance, the innovation of …"
"Introduction to the Minitrack on Machine Learning and Network Analytics in Finance","Recent years have seen a rapid evolution of methodologies in artificial intelligence and machine learning, and as a result, increasingly widespread use of these techniques in different domains. One of the most important application areas is finance, offering …"
"Using Smart Algorithms, Machine Learning, and Blockchain Technology to Streamline and Accelerate Dealflow in Climate Finance","A major reason for the chronic climate finance underspend (US $1 trillion per year required, US $360 billion per year spent) is that there is a misalignment between institutional investors looking to invest in climate finance and the fundamental characteristics of the most impactful …"
"[PDF][PDF] Machine Learning-next steps for Finance?","(ML) Prediction vs. Explanation<U+21D2> Correlation vs. Causation<U+21D2> Spurious correlation-how do we handle overfitting formally?-model reduction-ML good at this! so the question is how do we make it better? Post model selective inference and Multiple Hypothesis testing …"
"A Research on the Development of Artificial Intelligence and Consumer Finance in China","Consumer finance refers to provide consumers with various financial services to meet consumer needs. China's consumer finance is at a quick development stage, and its future is very promising. Although it has experienced a rapid development for the consumer finance  …"
"Introduction to Machine Learning and Network Analytics in Finance Minitrack","We are experiencing enormous growth in the interest of application of various computational methods in finance, which is the consequence of various developments in the last 15 years. As a result, the number and importance of contributions utilizing various machine learning  …"
"Overview of Machine Learning in Finance","A few years back I was approached by the financial client from the Southeast Asia region to help them with their machine learning effort since they were newly implementing it in their industry and they had become stuck with the practical implementation of the machine  …"
"A Research on OBE-CDIO Finance Education Reform Under the Age of Big Data","The age of big data changes the performances of the whole industries, so as the financial talent education. This article aims to establish the new financial talent cultivation model based on CDIO engineering conceive and OBE conceive in order to better train the financial …"
"Monetizing Finance Machine Learning","In this chapter, I am going to put forward some innovative ideas that can be monetized using machine learning in the financial world. I will also show you some examples where a similar approach has been used and has succeeded. For some of them, there may not be an …"
"[PDF][PDF] Can Machine Learning Techniques Predict Non-performance of Farm Non-Real Estate Loans in the Ag Finance Databook","… Page 4. Research Question <U+25B6> Try to predict farm non-performing loans in the Agricultural Finance
Databook Why?? <U+25B6> See 'the next 1980's crisis coming' <U+25B6> Even if not 1980's crisis levels <U+21D2> Still
good to predict what non-performance will look like next quarter. Page 5. Research Question <U+25B6> …"
"The Future of Fuzzy Sets in Finance: New Challenges in Machine Learning and Explainable AI","Traditional statistical analysis is oriented towards finding linear relationships between the variables under investigation, often accompanied by strict assumptions about the problem and data distributions. Moreover, traditional analysis endorses data reduction as much as …"
"Credit model of supply chain finance based on big data of E-commerce","Supply chain finance, rapid developing in China in recent years, is not only one of the focuses in the financial innovation, but also an important theoretical research topic. This paper puts forward the three main participants in the supply chain finance: the leader …"
"How to Reshape the Role of Finance Professional of Big Data","As big data and analysis technology have been deepening the impact on enterprises, the role of finance professional in the enterprise needs to adapt to the new environment. The impact of big data means that accountants and finance professionals are at a crossroads …"
"Can we infer the"" laws"" of finance from big data?","A distinction often made between the physical sciences and social sciences is that the latter are not as amenable as the former to controlled experiments for rigorously verifying predictions made from theory. However, astronomy is a hard science in which it is …"
"How to Implement Machine Learning in Finance","In the finance industry, the topmost item that has huge potential is applying machine learning 
to algorithmic stock trading. Although algorithmic stock trading is an automated version of manual 
stock trading, I will say it lacks artificial intelligence that machine learning can provide in forecasting …"
"Pitfalls to Avoid with Machine Learning in Finance","This chapter is about pitfalls that an organization can encounter while using machine learning technology in the finance sector. Throughout the finance section, we have looked at some of the challenges that this sector faces; however, in this chapter we are going to look at …"
"Big Data: Epistemological Reflections and Impacts in Finance and Capital Market Studies.","Objective and method: Access to data series plays a central role in the area of Finance. The increasing availability of large volumes of data, in different formats and at high frequency, combined with the technological advances in data storage and processing tools, have …"
"Corporate finance and machine learning","In this dissertation, I study corporate activities, and their predictive abilities of market returns. The first chapter examines the determinants of industry merger waves. We propose a continuous merger activity variable (MAV) as an alternative to discrete industry merger …"
"[PDF][PDF] Big Data for Finance","According to the 2014 IDG Enterprise Big Data research report, companies are intensifying their efforts to derive value through big data initiatives with nearly half (49%) of respondents already implementing big data projects or in the process of doing so in the future. Further …"
"Research on the Core Competence and Training System of Computer Speciality for Big Data Processing in Colleges and Universities of Finance and Economics","In big data era, the computer professionals should be equipped with the ability of big data processing and analysis. And multi-disciplinary collaborative innovation and interdisciplinary cross-learning ability is becoming more and more important. According to …"
"Redesigning Digital Finance for Big Data","This paper suggests important strategies that digital finance providers (mobile network operators [MNOs], banks and third parties) should adopt to manage the influx of fintech (technology firms) players into the developing world. We believe that to compete or …"
"Appropriate machine learning techniques for credit scoring and bankruptcy prediction in banking and finance: a comparative study","Abstract Machine learning techniques have been used successfully in several areas such as banking and finance. These techniques are used mainly for prediction, classification and partitioning data into different groups according to a certain common characteristic. In this …"
"Une Nouvelle Course aux Armements: Surveillance des Donnees Informatiques et Finance Dematerialisee (Big Data, Digital Finance, and the Surveillance Arms …","A l'heure actuelle, le thème de la surveillance est sujet à controverses. De gigantesques appareils de renseignements nationaux et internationaux sont appams en Europe, en Amérique du Nord et en Asie. Ils commettent parfois des erreurs spectaculaires, ignorant …"
"Influence of contextual factors on the adoption process of Robotic process automation (RPA): Case study at Stora Enso Finance Delivery","The introduction will first describe the theoretical background for the research, followed by origin of the study and problematizing. These considerations are used to define the purpose statement and research questions. The chapter concludes with limitations and outline for the …"
"Path Analysis about the Integration of Enterprise Business and Finance under the Background of Big Data and Artificial Intelligence","With the intensification of globalization and the rapid development of information technology, the economic development of China has entered a new normal state. The change of this series of external management environment forces enterprises to transform and upgrade. As …"
"Machine Learning vs. Mathematical Finance: Opposition or Apposition? Thoughts Around Reconstructing Quantitative Finance a Decade after the Subprime …","Abstract The rise of Big Data (BD) and Data Science (DS) along the aftermath of the financial crisis of 2009 as well as the multiple Flash Crashes of the early 2010s resulted in social uproars in the general population and ethical malaises in the scientific community which …"
"Machine Learning in Energy Economics and Finance: A Review","Abstract Machine Learning (ML) is generating new opportunities for innovative research in energy economics. We critically review the burgeoning literature dedicated to Energy Economics applications of ML. Our review identifies applications in areas such as predicting …"
"Reflection on Big Data Technology: Problems and Countermeasures in"" Big Data Credit Reporting"" of Internet Finance in China","With the rapid development of Internet finance in China for the past few years, big data credit reporting agencies specifically for network credit information have been initially established. An analysis on the technology application, characteristics and operational difficulties of big  …"
"Robotic Process Automation im Finance & Controlling der MANN+ HUMMEL Gruppe","zusammen. Tschechien, in dem vor allem transaktionale Tätigkeiten aus den Bereichen Accounting, HR, IT, Einkauf, Vertrieb und Entwicklung abgewickelt werden. Bereits seit 2015 wurden dort zunächst einfache, sich stark wiederholende Prozesse, wie etwa stündliche …"
"Applications of artificial intelligence in e-commerce and finance","Artificial Intelligence has penetrated into every aspect of our lives in this era of Big Data. It has brought revolutionary changes upon various sectors including e-commerce and finance. In this thesis, we present four applications of AI which improve existing goods and services …"
"[CITATION][C] Editorial introduction on complexity and big data in economics and finance: Recent developments from a Bayesian perspective","… Kaufmann, S. (Sylvia), Frühwirth-Schnatter, S. (Sylvia) and HK van Dijk (Herman). 2018-01-01.
Editorial introduction on complexity and big data in economics and finance: Recent developments
from a Bayesian perspective. Publication. Publication. Journal of Econometrics. Additional …"
"Machine Learning for Structured Finance","Machine learning and artificial intelligence have evolved beyond simple hype and have integrated themselves in business and in popular conversation as an increasing number of smart applications profoundly transform the way we work and live. This article defines …"
"Big Data <U+0432> <U+0444><U+0438><U+043D><U+0430><U+043D><U+0441><U+0430><U+0445> (Big Data in Finance)","Russian Abstract: <U+0412><U+043E><U+043F><U+0440><U+043E><U+0441> <U+043F><U+0440><U+0438><U+043C><U+0435><U+043D><U+0435><U+043D><U+0438><U+044F> Big Data <U+043D><U+0435> <U+0442><U+043E><U+043B><U+044C><U+043A><U+043E> <U+0432> <U+0444><U+0438><U+043D><U+0430><U+043D><U+0441><U+043E><U+0432><U+043E><U+043C> <U+0441><U+0435><U+043A><U+0442><U+043E><U+0440><U+0435>, <U+043D><U+043E> <U+0438> <U+0432> <U+0446><U+0435><U+043B><U+043E><U+043C> <U+044F><U+0432><U+043B><U+044F><U+0435><U+0442><U+0441><U+044F> <U+043B><U+043E><U+0433><U+0438><U+0447><U+043D><U+043E><U+0439> <U+0437><U+0430><U+043A><U+043E><U+043D><U+043E><U+043C><U+0435><U+0440><U+043D><U+043E><U+0441><U+0442><U+044C><U+044E> <U+0442><U+0435><U+0445><U+043D><U+0438><U+0447><U+0435><U+0441><U+043A><U+043E><U+0433><U+043E> <U+0438> <U+043D><U+0430><U+0443><U+0447><U+043D><U+043E><U+0433><U+043E> <U+043F><U+0440><U+043E><U+0433><U+0440><U+0435><U+0441><U+0441><U+0430> <U+043F><U+043E><U+0441><U+043B><U+0435><U+0434><U+043D><U+0438><U+0445> <U+0434><U+0435><U+0441><U+044F><U+0442><U+0438><U+043B><U+0435><U+0442><U+0438><U+0439>. <U+0421><U+043C><U+0435><U+043D><U+0430> <U+043F><U+0430><U+0440><U+0430><U+0434><U+0438><U+0433><U+043C> <U+043F><U+0440><U+0438><U+0432><U+0435><U+043B><U+0430> <U+043A> <U+0442><U+043E><U+043C><U+0443>, <U+0447><U+0442><U+043E> <U+0441><U+0435><U+0433><U+043E><U+0434><U+043D><U+044F><U+0448><U+043D><U+0438><U+043C> …"
"[CITATION][C] Machine learning in finance—Guest editorial","[CITATION][C] Sectoral reallocation and endogenous risk-aversion: Solving macro-finance models with machine learning"
"Essays on machine learning for economics and finance","Econometrics and machine learning are quite close and related concepts. Nowadays, it is always more important to extract value from raw data, and distilling actionable insights from quantitative values as well as qualitative features. In order to deal with these topics, the first …"
"[CITATION][C] How chatbots and artificial intelligence will save banks and the finance industry billions","[CITATION][C] The Digital Transformation Of Accounting And Finance–Artificial Intelligence, Robots And Chatbots"
"[CITATION][C] Research on the Integration Development Path of the Big Data Platform Construction and the Rural Finance","[CITATION][C] Blockchain for Trade Finance: Payment Method Automation"
"[CITATION][C] Macro, Finance, and Macro Finance: Solving Nonlinear Models in Continuous Time with Machine Learning",NA
NA,NA
NA,NA
NA,NA
"[CITATION][C] Automation Will Shape Finance in the Future","[CITATION][C] Machine learning in finance–present and future applications"
"[CITATION][C] Machine Learning in Finance-Present and Future Applications, tech emergence","[CITATION][C] High-dimensional Sparsity Methods in Machine Learning and Finance"
"Survey of Big Data applications: health, education, business & finance, and security & privacy","Nowadays, Big Data is experiencing an exponential growth in all domains of life. The total amount of data created in the world from the beginning of time up until 2005 is now created every 48 hours! Big Data represents large datasets that cannot be analyzed using traditional …"
"[PDF][PDF] Applications of Big Data methods in Finance: Index Tracking","RESEARCH OBJECTIVES Although the curse of dimensionality does not relate to most financial settings, high-dimensional methods gained some relevance in the recent finance literature. Index tracking aims at finding an optimal sample of stocks able to mimic the …"
"[PDF][PDF] Artificial Intelligence in Finance: Forecasting Stock Market Returns Using Artificial Neural Networks","This study explored various Artificial Intelligence (AI) applications in a finance field. It identified and discussed the main areas for AI in the finance: portfolio management, bankruptcy prediction, credit rating, exchange rate prediction and trading, and provided …"
"Using Robotic Process Automation in Finance organizations: Case study","Software robotics has emerged as a new technological development over the last few years, offering a lot of potential for optimizing and improving processes. Software robotics offers a new tool also for finance organizations, where there are still number of manual tasks being …"
"Machine learning with applications to finance","The impact of data driven, machine learning technologies across a wide variety of fields is undeniable. The financial industry, which relies heavily on predictive modeling being no exception. In this work we summarize two widely used machine learning models: support …"
"[CITATION][C] Business finance and enterprise management in the era of big data: an introduction",NA
NA,NA
NA,NA
"[CITATION][C] L'era dei big data e l'impatto sulla business intelligence dell'impresa: il settore finance","Big data: perspectives for corporate finance"
"Data is everywhere around us and big data is a new challenge for modern business. In fact, the amount of digital data is growing rapidly–more than 2, 7 zettabytes of data exist in today's digital universe. Furthermore, there is predicted 180 zettabytes of data in 2025 [1]. All …","The Future of Data-Driven Finance and RegTech: Lessons from EU Big Bang II"
"… I. FINTECH, REGTECH AND THE ORIGINS OF DIGITAL FINANCE Financial technology (FinTech)
is growing rapidly and creating new opportunities through big data, 13 the Internet of Things
(IoT), 14 artificial intelligence (AI) / machine learning, 15 distributed ledger technology … 
","Not-So-Big and Big Credit Data Between Traditional Consumer Finance, FinTechs, and the Banking Union: Old and New Challenges in an Enduring EU Policy and …"
